Employer,Union,Union Local,Case Number,BU,NAICS,Industry,"City, State",# Idled,Start Date,End Date,Duration
Sheraton Princess Kaiulani,Unite Here 5,5,2018N0400872,410.0,72.0,Accommodation and Food Services,"Honolulu, HI",410.0,2018-10-08,2018-11-27,51.0
Sheet Metal Contractors Labor Relations Council of Iowa Inc.(Central Iowa Chapter & Signatory Emp.),SMART 45,45,2018N0400999,,23.0,Construction,"Various, IA",0.0,2018-07-09,2018-07-23,15.0
Avalon Care Center-Hale Nani Rehab and Nursing Cen,Unite Here 5,5,2018N0401231,100.0,62.0,Health Care and Social Assistance,"Honolulu, HI",100.0,2019-08-02,2019-08-03,2.0
Cubbison Company,GCC/IBT 508M,508M,2018N0500275,32.0,31.0,Manufacturing,"Youngstown, OH",32.0,2018-09-17,2018-09-23,7.0
New Hampshire Electric Cooperative Inc.,IBEW 1837,1837,2018N0500436,82.0,22.0,Utilities,"Plymouth, NH",82.0,2018-05-07,2018-05-17,11.0
Mikesells,IBT 957,57,2018N0500513,14.0,31.0,Manufacturing,"Dayton, OH",4.0,2020-03-02,,61.0
Borroughs Corporation,GMP 412,412,2018N0500514,80.0,31.0,Manufacturing,"Kalamazoo, MI",69.0,2018-02-07,2018-03-01,23.0
Battle Creek Glass,IUPAT 1M,1M,2018N0500598,11.0,31.0,Manufacturing,"Battle Creek, MI",11.0,2018-01-09,2018-01-24,16.0
"Foreman Architectural Glass, LLC",IUPAT Council 1M,Council 1M,2018N0500599,8.0,31.0,Manufacturing,"Kalamazoo, MI",8.0,2018-01-09,2018-01-26,18.0
Aramark,UAW Local 653,,2018N0500693,1057.0,72.0,Accommodation and Food Services,"Various (Hamtramck/Warren/Flint/Grand Blanc/Parma),   ",,2019-09-15,2019-10-28,44.0
Michigan Painting & Drywall Contractor Associations,IUPAT Council 1M,Council 1M,2018N0500925,937.0,23.0,Construction,"Warren, MI",737.0,2018-06-01,2018-06-08,8.0
"Tecnocap, LLC",IAMAW 818,818,2018N0501071,36.0,31.0,Manufacturing,"Glen Dale, WV",36.0,2018-04-09,2018-08-20,134.0
Mid-Michigan Mechanical Contractors Association,UA AFL-CIO 333,333,2018N0501215,700.0,23.0,Construction,"Mid-Michigan Area, ",700.0,2018-06-01,2018-06-11,11.0
"Knoll, Inc",Carpenters Industrial Council 1615,1615,2018N0501285,215.0,31.0,Manufacturing,"Grand Rapids, MI",202.0,2018-04-27,2018-04-30,4.0
Mid-states Concrete Industries LLC,Laborers 464,464,2018N0501446,170.0,31.0,Manufacturing,"Beloit, WI",170.0,2018-06-15,2018-06-15,1.0
D.W. Dickey & Sons,IBT 92,92,2018N0501631,21.0,23.0,Construction,"Lisbon, OH",21.0,2018-07-26,2018-08-01,7.0
IMERYS,Boilermakers DNCL,DNCL,2018N0501679,30.0,31.0,Manufacturing,"Three Forks, MT",50.0,2018-08-02,2018-10-31,91.0
Associated General Contractors of Washington,IUOE 302,302,2018N0501840,5000.0,23.0,Construction,"Bothell, WA",6000.0,2018-08-21,2018-09-07,18.0
Spencer Forge & Manufacturing Company,IAM&AW 1297,1297,2018N0501980,31.0,31.0,Manufacturing,"Spencer, OH",41.0,2018-07-06,2018-07-09,4.0
Westin Book Cadillac Hotel,UNITE / HERE 24,24,2018N0502111,106.0,72.0,Accommodation and Food Services,"Detroit, MI",106.0,2018-10-07,2018-11-03,28.0
San Jose Marriott,Unite Here 19,19,2018N0502248,150.0,72.0,Accommodation and Food Services,"San Jose, CA",150.0,2018-10-04,2018-11-10,38.0
The Trane Company- Division of Ingersoll Rand,IAMAW 66,66,2018N0502268,441.0,31.0,Manufacturing,"La Crosse, WI",462.0,2018-08-12,2018-08-15,4.0
Voith Paper Fabric & Roll Systems Inc.,IAMAW 1855,1855,2018N0502384,34.0,31.0,Manufacturing,"Neenah, WI",34.0,2018-09-23,2018-10-13,21.0
Mercy St. Vincent Medical Center,UAW 2213,2213,2018N0502555,1200.0,62.0,Health Care and Social Assistance,"Toledo, OH",1200.0,2019-05-06,2019-06-12,38.0
Mercy St. Vincent Medical Center,UAW 12/2213,12/2213,2018N0502556,950.0,62.0,Health Care and Social Assistance,"Toledo, OH",950.0,2019-05-06,2019-06-02,28.0
Mercy St. Vincent Medical Center,UAW c/o Region 2B 12,12,2018N0502557,420.0,62.0,Health Care and Social Assistance,"Toledo, OH",420.0,2019-05-06,2019-06-02,28.0
Vesuvius dba FOSECO,IAMAW 1297,1297,2018N0502611,87.0,31.0,Manufacturing,"Brook Park, OH",87.0,2018-09-24,2018-09-28,5.0
Guardian Angels Care Center Service and Maintenance,SEIU Healthcare MN,,2018N0503068,150.0,62.0,Health Care and Social Assistance,"Elk River, MN",150.0,2019-06-06,2019-06-07,2.0
"Citizens League for Adult Special Services, Inc.",SEIU 509,509,2018N1001091,110.0,62.0,Health Care and Social Assistance,"Lawrence, MA",110.0,2018-07-09,2018-07-13,5.0
Brittany Global Technologies,IBT 59,59,2018N1001502,77.0,,Not Provided,"New Bedford, MA",80.0,2018-08-06,2018-11-18,105.0
National Grid,USW 12003,12003,2018N1001656,875.0,22.0,Utilities,"Waltham, MA",1200.0,2018-06-25,2019-01-07,197.0
"Garnett Auto Supply, Inc. & Jobbers Automotive",IAMAW 708,708,2018N1001891,67.0,42.0,Wholesale Trade,"Wichita, KS",67.0,2018-08-17,2018-09-10,25.0
"DAVE SINCLAIR FORD, INC.",IAMAW District 9 777,777,2018N1002091,57.0,44.0,Retail Trade,"St. Louis, MO",57.0,2018-11-01,2018-11-14,14.0
Crawford Skilled & Rehab Center/NSL/HSG,NEHCEU / SEIU 1199,1199,2018N1002175,77.0,62.0,Health Care and Social Assistance,"Fall River, MA",74.0,2018-12-07,2018-12-10,4.0
Skylawn Memorial Park,SEIU 265,265,2018N1200664,10.0,44.0,Retail Trade,"San Mateo, CA",10.0,2019-08-14,2019-09-03,21.0
JJ Taylor Distributors MN Inc.,IBT 792,792,2018N1200781,100.0,48.0,Transportation and Warehousing,"Minneapolis, MN",100.0,2018-04-09,2018-05-25,47.0
Sentinel Transportation,IBT 986,986,2018N1200804,50.0,48.0,Transportation and Warehousing,"Los Angeles, CA",50.0,2018-05-24,2018-06-29,37.0
Sun Maid Growers,IBT 431,431,2018N1201408,521.0,42.0,Wholesale Trade,"Kingsburg, CA",521.0,2018-09-10,2018-09-25,16.0
Construction Employers,IUPAT Council 16,Council 16,2018N1201531,1400.0,23.0,Construction,"Attached List, ",1400.0,2018-07-02,2018-07-09,8.0
Mechanical Contractors Association of Indiana - Fort Wayne Area,Plumbers and Steamfitters 166,166,2018N1201542,613.0,23.0,Construction,"NE Indiana (14 Counties) Fort Wayne, IN",613.0,2018-06-01,2018-06-19,19.0
United Launch Alliance,IAMAW 610,610 ,2018N1201647,600.0,54.0,"Professional, Scientific &Tech Serv","C.C.A.F.S, FL",200.0,2018-05-07,2018-05-19,13.0
Republic Services,IBT 728,728,2018N1202048,120.0,56.0,Support Serv. & Waste Management,"Atlanta, GA",120.0,2018-08-10,2018-08-10,1.0
Providence Saint John's Health Center,California Nurses Association N/A,,2018N1202732,650.0,62.0,Health Care and Social Assistance,"Santa Monica, CA",650.0,2018-11-27,2018-12-01,5.0
Barton Brands of California Inc.,IBT 630,630,2018N1202740,44.0,48.0,Transportation and Warehousing,"Carson, CA",44.0,2018-12-11,2019-02-16,68.0
Allied Ready Mix,IBT 89,89,2018N1202856,40.0,48.0,Transportation and Warehousing,"Louisville, KY",40.0,2018-10-08,2018-12-21,75.0
Coca-Cola Bottling Company United,IBT 991,991,2018N1202912,260.0,42.0,Wholesale Trade,"Mobile, AL",260.0,2018-08-08,2018-08-20,13.0
Coca-Cola Bottling Company United,IBT 991,991,2018N1202912,260.0,42.0,Wholesale Trade,"Mobile, AL",260.0,2018-08-09,2018-08-09,1.0
Marin General Hospital,NUHW N/A,,2018N1202986,46.0,62.0,Health Care and Social Assistance,"Greenbrae, CA",46.0,2019-02-01,2019-02-02,2.0
Northern California Glaziers Master Agreement,IUPAT Council 16,Council 16,2018N1203067,2000.0,23.0,Construction,"Attached List, ",2000.0,2018-07-02,2018-07-05,4.0
Four Roses Distillery LLC,UFCW AFL-CIO CLC 23D,23D,2018N1203281,30.0,31.0,Manufacturing,"Coxs Creek, KY",30.0,2018-09-07,2018-09-21,15.0
Kaiser Permanente (Integrated Behavioral Health Services),NUHW N/A,,2018N1203376,1620.0,62.0,Health Care and Social Assistance,"Northern California Region, CA",1620.0,2018-12-10,2018-12-14,5.0
Kaiser Permanente (Integrated Behavioral Health Services),NUHW Local N/A,,2018N1203376,1620.0,62.0,Health Care and Social Assistance,"Northern California Region, CA",,2019-12-16,2019-12-20,5.0
Kaiser Permanente (Psych-Social Chapter),NUHW N/A,,2018N1203377,1713.0,62.0,Health Care and Social Assistance,"Southern California Region, CA",1713.0,2018-12-10,2018-12-15,6.0
Kaiser Permanente (Psych-Social Chapter),NUHW Local N/A,,2018N1203377,1713.0,62.0,Health Care and Social Assistance,"Southern California Region, CA",,2019-11-11,2019-11-16,6.0
Kaiser Permanente (Psych-Social Chapter),NUHW Local N/A,,2018N1203377,1713.0,62.0,Health Care and Social Assistance,"Southern California Region, CA",,2019-12-16,2019-12-20,5.0
Kaiser Permanente (Healthcare Professionals Chapter),NUHW N/A,,2018N1203378,387.0,62.0,Health Care and Social Assistance,"Southern California Region, CA",387.0,2018-12-10,2018-12-15,6.0
Kaiser Permanente (Healthcare Professionals Chapter),NUHW Local N/A,,2018N1203378,387.0,62.0,Health Care and Social Assistance,"Southern California Region, CA",,2019-11-01,2019-11-16,16.0
Kaiser Permanente (Healthcare Professionals Chapter),NUHW Local N/A,,2018N1203378,387.0,62.0,Health Care and Social Assistance,"Southern California Region, CA",,2019-12-16,2019-12-20,5.0
San Francisco Marriott - Union Square,Unite Here 2,2,2018N1203579,124.0,72.0,Accommodation and Food Services,"San Francisco, CA",124.0,2018-10-04,2018-12-05,63.0
Good Samaritan Hospital,IUOE Stationary Engineers 39,39,2018N1204108,21.0,62.0,Health Care and Social Assistance,"San Jose, CA",21.0,2018-11-26,2018-11-26,1.0
Oakland Marriott City Center,Unite Here 2850,2850,2018N1204298,200.0,72.0,Accommodation and Food Services,"Oakland, CA",200.0,2018-10-05,2018-10-24,20.0
Federal Bronze Casting Industries Inc.,USW 00040M**,00040M**,2018N1204449,31.0,31.0,Manufacturing,"Newark, NJ",31.0,2018-11-21,2018-11-28,8.0
Air Gas USA LLC,IBT Local N/A,,2018N1204619,1.0,,Not Provided,"Ventura, CA",,2019-10-08,2019-10-08,1.0
"Wilkes Barre Hospital Company, LLC.",PASNAP Wyoming Valley Nurses Association,Wyoming Valley Nurses Association,2018N1800213,460.0,62.0,Health Care and Social Assistance,"Wilkes Barre, PA",460.0,2018-05-31,2018-05-31,1.0
"Wilkes Barre Hospital Company, LLC.",PASNAP Wyoming Valley Nurses Association,Wyoming Valley Nurses Association,2018N1800213,460.0,62.0,Health Care and Social Assistance,"Wilkes Barre, PA",460.0,2018-06-01,2018-06-05,5.0
"Wilkes Barre Hospital Company, LLC.",PASNAP Wyoming Valley Nurses Association,Wyoming Valley Nurses Association,2018N1800213,460.0,62.0,Health Care and Social Assistance,"Wilkes Barre, PA",460.0,2018-06-02,2018-06-05,4.0
Chicago Cutting Die,IAMAW/AMU 701,701,2018N1800366,14.0,31.0,Manufacturing,"Northbrook, IL",14.0,2018-03-16,2018-04-16,32.0
VeraCare Burbank LLC,SEIUHCIL,,2018N1800399,50.0,62.0,Health Care and Social Assistance,"Burbank, IL",50.0,2018-01-15,2018-01-16,2.0
VeraCare Burbank LLC,SEIUHCIL,,2018N1800399,50.0,62.0,Health Care and Social Assistance,"Burbank, IL",50.0,2018-03-27,2018-04-02,7.0
"Brad Foote Gear Works, Inc.",USW 9777-35,9777-35,2018N1800506,80.0,31.0,Manufacturing,"Cicero, IL",80.0,2018-09-07,2018-09-10,4.0
"MTIL, Inc","United Electrical, Radio and Machine Workers of America (UE)",,2018N1800548,160.0,48.0,Transportation and Warehousing,"Bolingbrook, IL",160.0,2018-08-03,2018-08-03,1.0
HMS Host,Unite Here 1,1,2018N1800690,1300.0,72.0,Accommodation and Food Services,"Chicago, IL",60.0,2017-12-21,2017-12-21,1.0
U.S. Hose,Teamsters 179,179,2018N1800792,72.0,31.0,Manufacturing,"Romeoville, IL",72.0,2018-04-06,2018-04-19,14.0
AT&T Services (Midwest),CWA 4,4,2018N1800989,9655.0,,Not Provided,"Arlington Heights, IL",9655.0,2018-06-01,2018-06-05,5.0
The American Bottling Company Dr. Pepper Outside,Teamsters 727,727,2018N1801094,170.0,,Not Provided,"Northlake, IL",170.0,2018-05-22,2018-07-01,41.0
YMCA of Metropolitan Chicago,SEIU HealthCare Illinois N/A,,2018N1801123,150.0,61.0,Educational Services,"Chicago, IL",150.0,2018-03-01,2018-03-01,1.0
The Cambria Hotel,UNITEHERE 1,1,2018N1801411,59.0,72.0,Accommodation and Food Services,"Chicago, IL",59.0,2018-09-10,,570.0
GKN Aerospace,IAMAW 434,434,2018N1801899,198.0,31.0,Manufacturing,"Amityville, NY",198.0,2018-06-28,2018-08-24,58.0
"Window Cleaning Companies of Chicago, IL and Vicinity",SEIU 1,1,2018N1802233,250.0,81.0,Personal Serv & Private Organizations,"Chicago, IL",250.0,2018-07-01,2018-07-27,27.0
Instituto del Progreso Latino,"Chicago Teachers Union, Charter Div. 1",1,2018N1802286,80.0,61.0,Educational Services,"Chicago, IL",80.0,2019-05-02,2019-05-06,5.0
Baltimore Symphony Orchestra Inc.,Musicians' Association of Metreopolitan Baltimore 40-543 AFM,40-543 AFM,2018N1802464,83.0,71.0,"Arts, Entertainment and Recreation","Baltimore, MD",83.0,2019-06-17,2019-09-23,99.0
Civitas Schools / Quest Management,"Chicago Teachers Union, Charter Div. 1",1,2018N1802738,183.0,61.0,Educational Services,"Chicago, IL",183.0,2019-02-04,2019-02-18,15.0
Chicago Symphony Orchestra Association,CFM/AFM 10-208,10-208,2018N1802769,111.0,71.0,"Arts, Entertainment and Recreation","Chicago, IL",111.0,2019-03-11,2019-04-27,48.0
Indiana Regional Medical Center,Indiana Registered Nurses Association/HealthCare-PSEA/AFT-HealthCare 5120,5120,2018N1803115,377.0,62.0,Health Care and Social Assistance,"Indiana, PA",377.0,2018-11-26,2018-11-30,5.0
Silgan Containers Manufacturing Corporation,IAMAW District 8 2068,2068,2018N1803183,178.0,31.0,Manufacturing,"Rochelle, IL",178.0,2018-12-08,2019-01-18,42.0
KeyFood Pick Quick Food,UFCW 342,342,201909650042,40.0,44.0,Retail Trade,"Brooklyn, NY",40.0,2019-04-07,2019-05-13,37.0
US Silica,LIUNA 110,110,201910730036,10.0,31.0,Manufacturing,"Pacific, MO",10.0,2019-03-03,2019-04-12,41.0
UNIVERSITY OF ILLINOIS HOSPITAL & HEALTH SCIENCE SYSTEM,Illinois Nurses Association,,201910930007,30.0,62.0,Health Care and Social Assistance,"CHICAGO METRO AREA, IL",30.0,2018-11-15,2018-11-19,5.0
City Colleges of Chicago,IFT 1708,1708,201910930024,450.0,61.0,Educational Services,"CHICAGO, IL",450.0,2019-05-01,2019-05-01,1.0
Four Seasons Nursing Center,SEIU Healthcare,,201911610060,,72.0,Accommodation and Food Services,", ",50.0,2020-10-19,2020-10-20,2.0
Murphysboro Community Unit School District # 186,IEA/NEA Region 2,,201911810056,0.0,61.0,Educational Services,"Murphysboro, IL",,2019-10-01,2019-10-10,10.0
GRAYSLAKE SCHOOL DISTRICT #46,IFT-AFT Local ,,201911820059,500.0,61.0,Educational Services,"Grayslake, IL",,2019-11-07,2019-11-08,2.0
Decatur Public Schools,IFT Region ,,201911920112,278.0,61.0,Educational Services,"Decatur, IL",,2019-10-29,2019-11-12,15.0
Chicago Board of Education,SEIU Local 73,,201911970043,6800.0,61.0,Educational Services,"Chicago, IL",,2019-10-17,,15.0
LATINO YOUTH HIGH SCHOOL,Chicago Teachers Union 1,1,201911970052,11.0,61.0,Educational Services,"Chicago, IL",11.0,2019-05-02,2019-05-05,4.0
CHICAGO BOARD OF EDUCATION,Chicago Teachers Union Local 1,,201911970054,24269.0,61.0,Educational Services,"Chicago, IL",,2019-10-17,2019-11-01,16.0
Reith Riley Construction Company,IUOE AFL-CIO 324,324,201912020013,160.0,23.0,Construction,"Lansing, MI",160.0,2019-07-31,,523.0
Denver Public Schools,Denver Classroom Teachers Association,,201912030046,,61.0,Educational Services,"Denver, CO",0.0,2019-02-11,2019-02-14,4.0
University of Illinois at Chicago,GEOSU,,201912040024,1350.0,61.0,Educational Services,"Chicago, IL",1350.0,2019-03-19,2019-04-08,21.0
Mendota Elementary Dist #289,IEA/NEA Region 44,,201912040056,85.0,61.0,Educational Services,"Mendota, IL",,2019-10-16,2019-10-28,13.0
Wabtec,UE 506,506,201912240042,1700.0,31.0,Manufacturing,"Erie, PA",1700.0,2019-02-26,2019-03-11,14.0
ASARCO LLC,USW AFL-CIO CLC Local N/A,,2019N0300273,1786.0,21.0,Mining and Oil & Gas Extraction,"Tucson, AZ",,2019-10-14,2019-10-24,11.0
"The Stop & Shop Supermarket Company, LLC (Cle",UFCW 328,328,2019N0300334,9614.0,44.0,Retail Trade,"Quincy, MA",9614.0,2019-04-11,2019-04-22,12.0
The Stop & Shop Supermarket Company,UFCW 371,371,2019N0300374,4327.0,44.0,Retail Trade,"Purchase, NY",4327.0,2019-04-11,2019-04-21,11.0
Alaska Marine Highway,IBU Alaska Region,Alaska Region,2019N0300386,421.0,48.0,Transportation and Warehousing,"Juneau, AK",421.0,2019-07-24,2019-08-02,10.0
Insulation Contractors of WNY & Sign. Cont. (1,"HFIA, Insulators 4",4,2019N0300742,98.0,23.0,Construction,"Buffalo, NY",98.0,2019-05-06,2019-05-10,5.0
Stop & shop Supermarket Company LLC,UFCW 1459,1459,2019N0300888,1400.0,44.0,Retail Trade,"Springfield, MA",14.0,2019-04-11,2019-04-21,11.0
Stop & Shop Supermarket Company LLC,UFCW 919,919,2019N0300906,7000.0,44.0,Retail Trade,"Farmington, CT",7000.0,2019-04-11,2019-04-22,12.0
Hood River Distillers Inc,IBT 670,670,2019N0400240,25.0,72.0,Accommodation and Food Services,"Hood River, OR",,2020-05-07,,242.0
Stop & Shop Supermarkets LLC - Clerks Contract,UFCW 1445,1445,2019N0400320,15000.0,44.0,Retail Trade,"Quincy, MA",15000.0,2019-04-11,2019-04-21,11.0
Summit Academy Management,OFT-aft,,2019N0500001,26.0,61.0,Educational Services,"Parma, OH",26.0,2019-02-19,2019-03-01,11.0
C.G. Bretting Manufacturing Company,IAMAW 10,10,2019N0500027,170.0,31.0,Manufacturing,"Ahsland, WI",170.0,2018-12-17,2018-12-21,5.0
East Central WI Sheet Metal Contractors Assoc Inc,SMART 18,18,2019N0501336,224.0,23.0,Construction,"Malone, WI",110.0,2019-06-20,2019-06-28,9.0
"Faurecia Interior Systems, LLC",UAW 1-A,1-A,2019N0501474,2032.0,31.0,Manufacturing,"Saline, MI",2032.0,2019-06-21,2019-06-21,1.0
Master Insulators Association,Heat & Frost Insulators 25,25,2019N0501526,225.0,23.0,Construction,"{Metro Detroit Area}, MI",225.0,2019-06-11,2019-06-18,8.0
Crane Aerospace/Lear Romec,"IAMAW 54, 1849","54, 1849",2019N0501561,126.0,31.0,Manufacturing,"Elyria, OH",121.0,2019-05-20,2019-05-21,2.0
Road Machinery and Supplies,IUOE 324,324,2019N0502638,11.0,23.0,Construction,"Detroit, MI",13.0,2020-07-13,2020-07-16,4.0
Special Metals Corporation (Technicians),IAMAW 65,65,2019N0502704,21.0,56.0,Support Serv. & Waste Management,"New Hartford, NY",21.0,2019-08-19,2019-09-07,20.0
Special Metals Corporation (P&M Unit),IAMAW 65,65,2019N0502705,221.0,31.0,Manufacturing,"New Hartford, NY",221.0,2019-08-19,2019-09-07,20.0
"General Motors, LLC",UAW Local ,,2019N0502825,28344.0,31.0,Manufacturing,"Warren, MI",,2019-09-16,2019-10-28,43.0
"General Motors, LLC",UAW Local ,,2019N0502826,192.0,31.0,Manufacturing,"Warren, MI",,2019-09-16,2019-10-28,43.0
Interkal,Michigan Regional Council of Carpenters,,2019N0503105,42.0,31.0,Manufacturing,"Kalamazoo, MI",40.0,2020-02-04,2020-02-21,18.0
Flight Safety Services Corporation,IAMAW 708,708,2019N1000062,15.0,92.0,Federal Government,"Wichita, KS",17.0,2019-02-12,2019-04-26,74.0
KENNAMETAL Inc. Greenfield,United Electrical Radio and Machine Workers of America 274,274,2019N1000360,75.0,31.0,Manufacturing,"Greenfield, MA",75.0,2019-08-11,2019-08-14,4.0
"Kirberg Roofing, Inc.",RWAW 20,20,2019N1000668,19.0,23.0,Construction,"Springfield, MO",19.0,2019-06-03,2019-06-04,2.0
"Fidelity House, Inc.",SEIU 509,509,2019N1001064,201.0,62.0,Health Care and Social Assistance,"Lawrence, MA",201.0,2019-09-24,2019-09-29,6.0
Rohm and Haas Texas Incorporated a Subsiduary of t,USW 13-1,13-1,2019N1001079,250.0,31.0,Manufacturing,"Deer Park, TX",250.0,2019-04-22,2019-06-10,50.0
Tri-State Roofing and Sheet Metal Company,RWAW 242,242,2019N1001249,360.0,23.0,Construction,"Mineral Wells, WV",85.0,2019-06-01,2019-06-11,11.0
"Veterans Transportation, LLC",IBT Council 10 25,25,2019N1001373,207.0,48.0,Transportation and Warehousing,"Waltham, MA",205.0,2020-07-13,2020-07-19,7.0
The Sherwin-Williams Company,IAMAW District 70,,2019N1001869,123.0,31.0,Manufacturing,"Andover, KS",,2019-09-29,2019-10-17,19.0
Marin General Hospital,IUOE Stationary Engineers 39,39,2019N1200001,17.0,62.0,Health Care and Social Assistance,"Greenbrae, CA",20.0,2019-02-01,2019-03-22,50.0
Fress Express Inc.,UFCW 5,5,2019N1200224,465.0,,Not Provided,"Salinas, CA",465.0,2019-06-11,2019-06-12,2.0
Advance Stores Company Inc. d/b/a Advance Auto Parts,Professional and Public Service Employees 1310,1310,2019N1200336,450.0,,Not Provided,"Kutztown, PA",200.0,2019-09-04,2019-09-18,15.0
Tenet Palmetto General Hospital,CNA/NNOC N/A,,2019N1200806,583.0,62.0,Health Care and Social Assistance,"Hialeah, FL",583.0,2019-09-20,2019-09-21,2.0
Florida Medical Center-Tenet,CNA/NNOC N/A,,2019N1200807,293.0,62.0,Health Care and Social Assistance,"Fort Lauderdale, FL",293.0,2019-09-20,2019-09-21,2.0
Chino Valley - Prime,UNAC/UHCP Local N/A,,2019N1200850,125.0,62.0,Health Care and Social Assistance,"Chino, CA",,2019-10-29,2019-11-01,4.0
SMSJ Tucson Holdings LLC d/b/a St. Joseph's Hospital,NNOC/NNU N/A,,2019N1201134,562.0,62.0,Health Care and Social Assistance,"Tucson, AZ",562.0,2019-09-20,2019-09-21,2.0
SMSJ Tucson Holdings d/b/a St. Mary's Hospital,NNOC/NNU N/A,,2019N1201135,406.0,62.0,Health Care and Social Assistance,"Tucson, AZ",406.0,2019-09-20,2019-09-21,2.0
Redwood  Memorial Hospital,NUHW Local N/A,,2019N1201192,66.0,62.0,Health Care and Social Assistance,"Fortuna, CA",,2019-11-20,2019-11-21,2.0
Irving Materials Inc.,IBT 215,215,2019N1201333,18.0,23.0,Construction,"Evansville, IN",18.0,2019-05-31,2019-08-15,77.0
Murphy Warehouse - Utility Janitor,IBT 120,120,2019N1201727,80.0,48.0,Transportation and Warehousing,"Minneapolis, MN",75.0,2019-05-15,2019-05-24,10.0
Barton Health,CNA/NNU N/A,,2019N1201920,173.0,62.0,Health Care and Social Assistance,"South Lake Tahoe, CA",173.0,2019-05-25,2019-05-29,5.0
Carley Foundry Company,USW Local 63B-03,,2019N1202325,229.0,31.0,Manufacturing,"Blaine, MN",,2019-11-02,2019-11-18,17.0
Simpson Strong-Tie,SMW Local 104,,2019N1202429,318.0,23.0,Construction,"Stockton, CA",,2019-09-05,2019-10-01,27.0
Regal Beloit,IAMAW Local 2018,,2019N1202848,113.0,31.0,Manufacturing,"Valparaiso, IN",,2019-07-01,2019-11-05,128.0
Dredging Contractors Association of California,IUOE 12,12,2019N1202937,97.0,23.0,Construction,"Long Beach, CA",97.0,2019-08-23,2019-09-30,39.0
G4S Secure Solutions (USA) Inc.,United Security Professionals 2,2,2019N1203126,23.0,22.0,Utilities,"Monticello, MN",23.0,2019-09-01,2019-09-09,9.0
Tenet Healthcare,California Nurses Association N/A,,2019N1203136,3783.0,62.0,Health Care and Social Assistance,"Multiple Locations, CA",3783.0,2019-09-20,2019-09-21,2.0
Supervalu Inc.,IBT Local 414,,2019N1203528,167.0,,Not Provided,"Fort Wayne, IN",,2019-12-12,,20.0
Supervalu Inc.,IBT 414,414,2019N1203528,167.0,,Not Provided,"Fort Wayne, IN",167.0,2020-07-23,2020-07-29,7.0
General Motors - Bowling Green Assembly,UAW Local 2164,,2019N1203713,773.0,31.0,Manufacturing,"Bowling Green, KY",,2019-09-16,2019-10-28,43.0
Pasha Automotive Services,IBT 683,683,2019N1203826,430.0,48.0,Transportation and Warehousing,"National City, CA",400.0,2020-03-12,2020-03-20,9.0
Velan Valve Corporation,IAMAW District lodge 4 Local 2704,,2019N1204146,75.0,31.0,Manufacturing,"Williston, VT",,2019-09-30,2019-10-04,5.0
Ward Manufacturing LLC,United Steelworkers International Union 304B**,304B**,2019N1300003,315.0,31.0,Manufacturing,"Blossburg, PA",315.0,2019-04-01,2019-04-03,3.0
Hayden-Murphy Equipment Company,IUOE 49,49,2019N1300055,18.0,72.0,Accommodation and Food Services,"Minneapolis, MN",18.0,2019-09-16,2019-09-16,1.0
Mado Health Care at Buena Park,SEIU Healthcare IL IN HCII,HCII,2019N1800010,10.0,62.0,Health Care and Social Assistance,"Chicago, IL",10.0,2019-01-21,2019-01-25,5.0
Acero Charter Schools,Chicago Teachers Union - Charter Division 1,1,2019N1800021,565.0,61.0,Educational Services,"Chicago, IL",565.0,2018-12-04,2018-12-09,6.0
Langeloth Metallurgical Company,"Int'l Union, UAW Region 9 1311",1311,2019N1800846,82.0,31.0,Manufacturing,"Langeloth, PA",82.0,2019-09-09,,483.0
University of Chicago Medical Center,National Nurses Organizing Committee/National Nurses United NA,,2019N1800878,2200.0,62.0,Health Care and Social Assistance,"Chicago, IL",2200.0,2019-09-20,2019-09-20,1.0
Viscofan USA,UFCW 686,686,2019N1801107,226.0,31.0,Manufacturing,"DANVILLE, IL",226.0,2019-06-21,2019-06-30,10.0
Wabtec Corporation,UE 618,618,2019N1801382,7.0,31.0,Manufacturing,"Erie, PA",7.0,2019-02-26,2019-03-11,14.0
Asian Human Services (Passages Charter School,Chicago Teachers Union Local 1,,2019N1802473,45.0,61.0,Educational Services,"Chicago, IL",,2019-10-22,2019-10-28,7.0
Mountainview Healthcare and Rehabilitation,RWDSU / UFCW Local 108,,2019N1802509,132.0,62.0,Health Care and Social Assistance,"Scranton, PA",,2019-11-15,2019-11-18,4.0
Laura Buick,GMC/IAMAW Local 313/777,,2019N1803099,40.0,44.0,Retail Trade,"Collinsville, IL",,2019-10-26,2019-12-22,58.0
Mack Trucks Inc.,UAW Local ,,2019N1803215,4200.0,31.0,Manufacturing,"Various, PA",,2019-10-13,2019-10-24,12.0
Republic Services,IBT Local 542,,202009740005,40.0,56.0,Support Serv. & Waste Management,",   ",,2019-12-26,,6.0
ZF Chassis Systems,UAW 10,,202011850035,243.0,31.0,Manufacturing,"Tuscaloosa, AL",234.0,2020-03-12,2020-03-20,9.0
UIC MEDICAL CENTER,SEIU 73,,202012040015,1100.0,92.0,State Government,"Chicago, IL",1100.0,2020-09-14,2020-09-24,11.0
UIC MEDICAL CENTER,INA,,202012040022,1500.0,62.0,Health Care and Social Assistance,"Chicago, IL",800.0,2020-09-12,2020-09-19,8.0
